trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.00299815767, 'e': 0.9970063323163572}",25,0,-40.88210014953969,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.00299815767, 'e': 0.9940216266789145}",20,0,-136.8045719609977,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.00299815767, 'e': 0.9910458562582837}",20,0,-64.13055398810674,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.00299815767, 'e': 0.9880789943053951}",20,0,-150.22000537884782,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
5,False,"{'a': 0.00299815767, 'e': 0.9851210141512569}",30,0,-201.74886286802504,"{0: 16, 1: 2, 2: 7, 3: 3, 4: 2}",0
6,False,"{'a': 0.00299815767, 'e': 0.9821718892067147}",20,0,-42.835328144292966,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.00299815767, 'e': 0.9792315929622142}",20,10,4.02890236060571,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.00299815767, 'e': 0.9763000989875612}",20,0,-86.38937446901376,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.00299815767, 'e': 0.9733773809316848}",30,0,-91.41885164900694,"{0: 22, 1: 0, 2: 7, 3: 0, 4: 1}",0
10,False,"{'a': 0.00299815767, 'e': 0.9704634125224008}",25,0,-146.6713107494275,"{0: 15, 1: 5, 2: 0, 3: 3, 4: 2}",0
11,False,"{'a': 0.00299815767, 'e': 0.9675581675661747}",20,0,-59.31986184846061,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.00299815767, 'e': 0.9646616199478872}",20,0,-130.7804415262386,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.00299815767, 'e': 0.9617737436305986}",25,0,-64.7906827101246,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
14,False,"{'a': 0.00299815767, 'e': 0.9588945126553156}",20,0,-122.39325061796093,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.00299815767, 'e': 0.956023901140757}",20,0,-58.11103128058232,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.00299815767, 'e': 0.9531618832831217}",20,0,-70.32905466204573,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.00299815767, 'e': 0.9503084333558569}",20,0,-99.58052472486213,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.00299815767, 'e': 0.9474635257094263}",35,0,-141.8537288629342,"{0: 19, 1: 4, 2: 10, 3: 2, 4: 0}",0
19,False,"{'a': 0.00299815767, 'e': 0.9446271347710796}",25,0,-113.54247077354557,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.00299815767, 'e': 0.9417992350446234}",30,0,-158.28465943376787,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
21,False,"{'a': 0.00299815767, 'e': 0.9389798011101907}",20,0,-99.50433601013194,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.00299815767, 'e': 0.9361688076240138}",30,0,-113.85119630171066,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
23,False,"{'a': 0.00299815767, 'e': 0.9333662293181954}",20,0,-65.62184040905656,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
24,False,"{'a': 0.00299815767, 'e': 0.930572041000482}",25,0,-140.15726307733928,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
25,False,"{'a': 0.00299815767, 'e': 0.9277862175540372}",30,0,-134.93348482077488,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
26,False,"{'a': 0.00299815767, 'e': 0.9250087339372165}",25,0,-59.94547913288797,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
27,False,"{'a': 0.00299815767, 'e': 0.9222395651833414}",25,11,-45.30240871519195,"{0: 10, 1: 0, 2: 2, 3: 2, 4: 0}",1
28,False,"{'a': 0.00299815767, 'e': 0.9194786864004751}",20,0,-119.34682681322948,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
29,False,"{'a': 0.00299815767, 'e': 0.9167260727711998}",30,0,-101.69278463568833,"{0: 20, 1: 1, 2: 8, 3: 0, 4: 1}",0
30,False,"{'a': 0.00299815767, 'e': 0.9139816995523918}",35,0,-120.55529474744131,"{0: 26, 1: 3, 2: 2, 3: 2, 4: 2}",0
31,False,"{'a': 0.00299815767, 'e': 0.9112455420750009}",20,0,-45.138989711297306,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
32,False,"{'a': 0.00299815767, 'e': 0.9085175757438273}",25,0,-184.57606833088363,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
33,False,"{'a': 0.00299815767, 'e': 0.9057977760373015}",30,0,-130.41964200350606,"{0: 23, 1: 2, 2: 2, 3: 0, 4: 3}",0
34,False,"{'a': 0.00299815767, 'e': 0.9030861185072632}",20,0,-134.6689794037202,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
35,False,"{'a': 0.00299815767, 'e': 0.9003825787787415}",20,0,-87.22754996664383,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
36,False,"{'a': 0.00299815767, 'e': 0.8976871325497366}",30,0,-122.40600575971172,"{0: 21, 1: 4, 2: 1, 3: 2, 4: 2}",0
37,False,"{'a': 0.00299815767, 'e': 0.8949997555910004}",20,0,-28.31731905946369,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
38,False,"{'a': 0.00299815767, 'e': 0.8923204237458194}",20,0,-78.5955777000843,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
39,False,"{'a': 0.00299815767, 'e': 0.8896491129297972}",30,0,-87.53660910112309,"{0: 20, 1: 3, 2: 4, 3: 3, 4: 0}",0
40,False,"{'a': 0.00299815767, 'e': 0.8869857991306377}",20,12,0.2787321318822278,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.00299815767, 'e': 0.8843304584079302}",20,0,-57.268000182724016,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
42,False,"{'a': 0.00299815767, 'e': 0.8816830668929334}",30,0,-188.97802101250244,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 3}",0
43,False,"{'a': 0.00299815767, 'e': 0.879043600788361}",35,0,-85.65293230691864,"{0: 26, 1: 2, 2: 5, 3: 1, 4: 1}",0
44,False,"{'a': 0.00299815767, 'e': 0.8764120363681678}",20,0,-52.680755743344015,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
45,False,"{'a': 0.00299815767, 'e': 0.8737883499773368}",30,0,-71.88370663599484,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
46,False,"{'a': 0.00299815767, 'e': 0.8711725180316661}",20,0,-59.03313694011505,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
47,False,"{'a': 0.00299815767, 'e': 0.868564517017557}",30,0,-142.8262819439445,"{0: 17, 1: 4, 2: 5, 3: 3, 4: 1}",0
48,False,"{'a': 0.00299815767, 'e': 0.8659643234918026}",20,0,-154.2109865848609,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
49,False,"{'a': 0.00299815767, 'e': 0.8633719140813776}",30,0,-107.30703809950643,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
50,False,"{'a': 0.00299815767, 'e': 0.8607872654832274}",30,8,-95.8134061347397,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 1}",1
51,False,"{'a': 0.00299815767, 'e': 0.8582103544640589}",20,0,-5.072107473063863,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.00299815767, 'e': 0.8556411578601323}",25,0,-149.59950932576044,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
